3000 1
52.23 21.01 0
52.87 18.7 12
51.82 19.3 20
50.07 19.52 3
49.87 19.33 21
50.88 21.87 2
53.85 22.97 30
52.16 15.83 4
50.16 17.98 3
50.5 21.53 1
52.85 17.95 7
53.84 20.7 7
50.52 16.73 2
52.99 15.22 14
54.25 20.8 24
53.73 16.35 3
51.37 19.37 60
51.18 22.27 6
50.32 19.13 58
50.39 17.66 2
53.61 22.06 3
52.03 23.12 57
51.8 20.48 3
51.65 20.95 7
54 15.99 24
53.9 16.84 2
53.12 23.17 2
49.73 21.26 4
50.7 16.62 30
52.77 23.19 26
49.82 19.04 17
50.09 19.09 19
51.12 17.54 5
52.95 19.88 1
50.55 22.73 27
53.85 20.95 10
54.07 20.9 2
50.78 18.98 9
51.65 18.43 2
49.9 22.1 2
52.2 20.62 12
53.95 16.58 4
49.71 20.94 3
49.98 20.43 29
50.94 20.96 2
50.91 14.95 18
49.98 21.94 5
50.76 16.21 16
51.7 16.75 2
51.27 15.57 39
50.93 16.1 5
51.92 17.25 2
53.58 16.53 4
54.38 19.83 17
52.75 22.83 3
53.25 19.4 27
52.7 21.85 1
53.89 17.72 4
52.14 20.72 12
50.87 17.48 37
51.27 16.72 12
49.97 20.62 16
50 19.15 11
52.61 18.9 4
51.8 19.75 12
49.88 21.41 2
49.7 22.02 7
52.36 16.52 6
50.27 19.46 10
50.47 20.72 16
51.02 22.53 5
51.12 18.22 3
53.12 18 35
50.3 16.65 10
50.35 18.92 18
51.73 15.82 4
54.13 17.5 16
52.88 14.2 1
51.15 23.48 67
50.1 19.25 9
53.37 18.42 20
53.2 18.6 15
50.8 20.47 4
50.61 20.75 3
51.42 15.92 8
53.47 15.33 3
52.41 19.03 1
52.99 16.91 19
52.96 14.43 7
53.7 17.55 39
51.27 15.93 14
53.14 22.99 5
53.26 20.9 2
50.3 18.95 11
53.17 15.42 15
50.13 19.4 38
52.68 22.5 4
52.88 20.61 44
52.88 18.78 10
50.25 23.13 1
49.75 18.63 35
49.8 20.97 2
52.2 14.8 2
53.55 16.23 6
53.3 23.28 9
53.83 18.1 3
53.68 16.95 5
52.9 16.56 11
49.85 20.68 2
49.91 19.01 35
50.32 19.07 33
52.15 16.77 5
52.43 17.48 2
53.79 17.97 9
52.02 15.41 4
50.15 18.68 28
50.8 19.12 23
53.09 16.12 2
53.65 17.37 14
52.8 22.32 2
50.89 21.51 3
50.8 20.81 2
54.42 16.41 13
52.09 18.82 2
53.65 23.35 5
50.32 19.19 12
50.17 20.98 11
53.53 17.23 5
50.05 21.41 46
51.57 21.86 17
52.74 14.7 13
49.9 20.1 6
52.97 15.75 3
53.59 15.31 2
51.9 18.6 1
53.99 20.4 10
50.73 18.44 3
53.36 15.43 2
52.64 19.32 2
51.98 17.07 1
53.22 15.75 2
53.53 15.81 11
52.83 15.83 10
52.74 19.99 2
52.4 22.65 2
51.45 20.47 3
49.55 21.68 2
50.38 16.38 4
49.82 22.23 6
53.23 20.18 20
50.37 20.35 0
51.12 18.87 6
53.92 19.35 5
50.73 16.65 33
54.03 14.76 2
54.16 19.4 12
53.82 22.36 57
50.68 22.67 1
54.35 19.68 2
51.9 21.63 16
52.4 19.73 4
54.37 18.63 45
54.5 18.53 24
54.04 21.76 29
52.82 20.28 3
50.28 18.67 19
51.66 16.08 67
50.17 21.97 5
50.34 17.87 5
51.96 19.71 14
50.2 17.83 13
50.31 17.37 14
50.68 16.37 6
53.83 18.83 6
52.9 18.42 7
52.53 17.6 69
50.49 18.02 6
53.83 14.98 2
53.57 14.83 22
52.25 18.1 4
